workload,redundancy,regime,prompt_length,generation_length,cached_generation_length,prompt_fraction,generated_fraction,requested_retained_fraction,actual_retained_fraction,full_cache_metric,solvable,method,method_key,metric_mean,metric_stdev,metric_samples,metric_ci_low,metric_ci_high,scoring_advantage,advantage_ci_low,advantage_ci_high,prompt_retained,generated_retained,total_retained,generated_position_mean,kv_bytes,flags
multistep,medium,published,399,96,95,0.8076923076923077,0.19230769230769232,0.3,0.2995944237206296,0.0,False,OBCache 1st-order,obcache,0.0,0.0,6,0.0,0.0,,,,53.0,95.0,148.0,446.0,2727936.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,medium,published,399,96,95,0.8076923076923077,0.19230769230769232,0.3,0.2995944237206296,0.0,False,SnapKV,snapkv,0.0,0.0,6,0.0,0.0,,,,53.0,95.0,148.0,446.0,2727936.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,medium,published,399,96,95,0.8076923076923077,0.19230769230769232,0.6,0.6002044928302898,0.0,False,CAKE-style,cake,0.0,0.0,6,0.0,0.0,,,,201.5,95.0,296.5,446.0,5465088.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,medium,published,399,96,95,0.8076923076923077,0.19230769230769232,0.6,0.6002044928302898,0.0,False,H2O,h2o,0.0,0.0,6,0.0,0.0,,,,214.36111111111111,82.13888888888889,296.5,451.71630451660593,5465088.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,medium,published,399,96,95,0.8076923076923077,0.19230769230769232,0.6,0.6002044928302898,0.0,False,OBCache 1st-order,obcache,0.0,0.0,6,0.0,0.0,,,,201.5,95.0,296.5,446.0,5465088.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,medium,published,399,96,95,0.8076923076923077,0.19230769230769232,0.6,0.6002044928302898,0.0,False,SnapKV,snapkv,0.0,0.0,6,0.0,0.0,,,,201.5,95.0,296.5,446.0,5465088.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,medium,published,399,96,95,0.8076923076923077,0.19230769230769232,0.9,0.8997989165509193,0.0,False,CAKE-style,cake,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,349.5,95.0,444.5,446.0,8193024.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,medium,published,399,96,95,0.8076923076923077,0.19230769230769232,0.9,0.8997989165509193,0.0,False,H2O,h2o,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,349.5,95.0,444.5,446.0,8193024.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,medium,published,399,96,95,0.8076923076923077,0.19230769230769232,0.9,0.8997989165509193,0.0,False,OBCache 1st-order,obcache,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,349.5,95.0,444.5,446.0,8193024.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,medium,published,399,96,95,0.8076923076923077,0.19230769230769232,0.9,0.8997989165509193,0.0,False,Prompt-protected random,random,0.0,0.0,6,0.0,0.0,,,,399.0,45.5,444.5,455.4189825997495,8193024.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
